Encoded,Category
0,All Appliances
1,All Electronics
2,Amazon Fashion
3,Baby Fashion
4,Backpacks
5,Bags & Luggage
6,Beauty & Grooming
7,Camera Accessories
8,Cameras
9,Casual Shoes
10,Clothing
11,Ethnic Wear
12,Fashion & Silver Jewellery
13,Fashion Sandals
14,Formal Shoes
15,Gold & Diamond Jewellery
16,Handbags & Clutches
17,Headphones
18,Heating & Cooling Appliances
19,Home Entertainment Systems
20,Innerwear
21,Jeans
22,Jewellery
23,Kids' Clothing
24,Kids' Fashion
25,Kids' Shoes
26,Kids' Watches
27,Kitchen & Home Appliances
28,Lingerie & Nightwear
29,Make-up
30,Men's Fashion
31,Rucksacks
32,School Bags
33,Security Cameras
34,Shirts
35,Shoes
36,Speakers
37,Sports Shoes
38,Sportswear
39,T-shirts & Polos
40,Travel Accessories
41,Wallets
42,Watches
43,Western Wear
44,Women's Fashion
45,other
